,@type,address,pub_key,account_number,sequence
2515,/cosmos.auth.v1beta1.BaseAccount,terra1ll7kg4g0u3a4cfpw6rvltn2k89eut869s7680u,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'Am82nwlkcAczEfhSx6rdu7tinyeawKd6CvW21eYGBzI8'}",2545613,3
2516,/cosmos.auth.v1beta1.BaseAccount,terra1ll7knh260xyv45dfvyu85x3h8s3356yr5yw2k8,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A0l33rhpU7Nu+RMx9aXzckq4BEf0mdb+MpZTJVeXvTYX'}",1467884,8
2517,/cosmos.auth.v1beta1.BaseAccount,terra1ll7k7q999r8w7qh2nf22gt7h6y57upm2wfkddw,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'Aruzh4sJv/VVbMXX5C5ymxjhOMULDjjNYQR7alJvGrXL'}",2893615,2
2518,/cosmos.auth.v1beta1.BaseAccount,terra1ll7h9w05fn95fk9wlcm3a8088cx96a2wlgn0rq,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A9Q7wwaB5AndtPC2Xivs9/XH35E7GoFUtZQImaniiX0L'}",2691622,2
2519,/cosmos.auth.v1beta1.BaseAccount,terra1ll7hjntdjz4d5l3gv8ypvumgj37lylp422qf7c,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'Ar6zocZnSdmeVGaOqd1iynRD9ZIw0tEOKu7+nggLqtDz'}",1749013,14
2520,/cosmos.auth.v1beta1.BaseAccount,terra1ll7hhxffvw80x97yh6tmmte4kweznchaumg682,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'Aqz6tYonSAEEDPEtp4K6mGcdKq34twVsOCCfuJEF3D1G'}",780694,8
2521,/cosmos.auth.v1beta1.BaseAccount,terra1ll7c9gfyvc59fnch5yljn3fnqlzw95jj3mfy2m,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A6ykkGvlWEwgqfuFRUiTpEv924VIb6TWT9vJJ7bnNlyP'}",3077369,3
2522,/cosmos.auth.v1beta1.BaseAccount,terra1ll7c878zmvgzuh77pwqzf7y5yl7hj69v0dzkdx,"{'@type': '/cosmos.crypto.secp256k1.PubKey', 'key': 'A/zoYCSH0WE6PJF5/bd3iBhsR2quUmbjq+aC5A/Ush0f'}",2141020,2
2523,/cosmos.auth.v1beta1.BaseAccount,terra1ll7cf3ks23pm7qtw6m67fjx4kgdnrlqx59ydty,,1939922,0
2524,/cosmos.auth.v1beta1.BaseAccount,terra1ll7cn2juqptr05vlswmnh5up4xv5n4yhr5c6xj,,1665639,0
